1CagePosition,1Stance,1StrikeAbsorbed,1StrikeLanded,1TopCombo,2StrikeAbsorbed,2StrikeLanded,2TopCombo,3StrikeAbsorbed,3StrikeLanded,3TopCombo,BodyABS,BodyLocksPer25,BodyTargeting,ChinGrade,Company,DefensiveGrade,DoubleLegsPer25,FighterGrade,FightsTracked,GrapplingGrade,HeadABS,HeadTargeting,HighImpactDropPercent,HighImpactDroppedPercent,HighImpactStrikePercent,HighImpactStunPercent,HighImpactStunnedPercent,Image,KickLandRate,KickLandRateAV,KickPlusMinus,KickingGrade,KicksLPM,KicksTPM,KnockdownsPer25,KnockdownsPer25AV,LastFighterGrade,LeftBodyKick,LeftHandABS,LeftHandThrowPercent,LeftHiKick,LeftHookHiMake,LeftHookLoMake,LeftJabHiMake,LeftJabLoMake,LeftLegKick,LeftOverhandMake,LeftStraightHiMake,LeftStraightLoMake,LegABS,LegTargeting,LowImpactStrikePercent,MinutesTracked,OrthodoxOppBodyKicks,OrthodoxOppHeadKicks,OrthodoxOppHooks,OrthodoxOppJabs,OrthodoxOppLegKicks,OrthodoxOppOverhands,OrthodoxOppStraights,OrthodoxOppUppercuts,PunchLandRate,PunchLandRateAV,PunchPlusMinus,PunchesLPM,PunchesTPM,RecordAgainstOrthodox,RecordAgainstSouthpaw,RecordAgainstSwitch,RightBodyKick,RightHandABS,RightHandThrowPercent,RightHiKick,RightHookHiMake,RightHookLoMake,RightJabHiMake,RightJabLoMake,RightLegKick,RightOverhandMake,RightStraightHiMake,RightStraightLoMake,Round1Output,Round1StrikesLanded,Round2Output,Round2StrikesLanded,Round3Output,Round3StrikesLanded,Round4Output,Round4StrikesLanded,Round5Output,Round5StrikesLanded,RoundsTracked,SingleLegsPer25,SouthpawOppBodyKicks,SouthpawOppHeadKicks,SouthpawOppHooks,SouthpawOppJabs,SouthpawOppLegKicks,SouthpawOppOverhands,SouthpawOppStraights,SouthpawOppUppercuts,StrikeLandRate,StrikeLandRateAV,StrikePlusMinus,StrikesLPM,StrikesTPM,StrikingGrade,StunsPer25,StunsPer25AV,SubAttemptsPer25,SubAttemptsPer25AV,SwitchOppBodyKicks,SwitchOppHeadKicks,SwitchOppHooks,SwitchOppJabs,SwitchOppLegKicks,SwitchOppOverhands,SwitchOppStraights,SwitchOppUppercuts,TDDefense,TakedownRate,TakedownRateAV,ThrowsPer25,TimesBodyLocksPer25,TimesDoubleLegsPer25,TimesKnockedDownPer25,TimesKnockedDownPer25AV,TimesSingleLegsPer25,TimesStunnedPer25,TimesStunnedPer25AV,TimesThrowsPer25,TimesTripsPer25,TotalClinchStrikesToTheBody,TotalClinchStrikesToTheHead,TotalElbows,TotalGroundStrikesToTheBody,TotalGroundStrikesToTheHead,TripsPer25,_id,clinchPOSStrikes,draw,fer,fighterCode,fighterName,gender,grapplingGameplans,groundPOSStrikes,height,kickapm,loopingPunches,loopingPunchesAbs,loss,nickname,offensiveRating,origin,punchapm,reach,searchFights,standingPOSStrikes,straightPunches,straightPunchesAbs,strikeapm,strikingGameplans,weight,wins
Center Octagon,Orthodox,Jabs,Left Hook to Head,No Data,Hooks,Left Jab to Head,No Data,Crosses,Right Hook to Head,No Data,0,0.9,15%,0,UFC,0,0.6,0,13,0,0,81%,0,0,0,0,0,https://a1.espncdn.com/combiner/i?img=%2Fi%2Fheadshots%2Fmma%2Fplayers%2Ffull%2F2504929.png,57.6%,62.9%,-55,0,0.1,0.2,0.6,0.8,0,0.3%,0,48%,0.0%,7.6%,1.2%,6.6%,0.2%,0.0%,0.0%,0.0%,0.0%,0,4%,0,162,0,0,0,0,0,0,0,0,44.1%,41.0%,-94,2.2,5,3-0,2-0,2-1,1.2%,0,52%,0.2%,5.8%,1.2%,0.0%,0.0%,1.5%,1.8%,5.1%,1.0%,33%,33.4%,29%,28.8%,21%,20.7%,11%,11.0%,6%,6.2%,35,1.4,0,0,0,0,0,0,0,0,52.9%,52.1%,-149,4.8,9.1,0,1.4,1,2.3,1.1,3,1,18,8,7,2,11,11,88%,35.9%,,0,0.2,0.8,1.1,0.9,0.6,2.3,1.1,0,0.5,0.5%,2.0%,0.0%,11.0%,53.0%,0.6,6480bbc359b391b3ca0a1972,2%,0,28.2,GloverTeixeira,Glover Teixeira,Male,7,50%,"6'2""",0.5,58%,39%,9,,87,"Gover Nador Valadares, Brazil",1.8,76,https://www.fightstats.xyz/search?q=Glover Teixeira,48%,42%,61%,2.3,6,Light Heavyweight,33
Ground-Top,Orthodox,Leg Kicks,Right Straight to Head,No Data,Crosses,Left Jab to Head,No Data,Hooks,Right Leg Kick,No Data,0,1,21%,0,UFC,0,0.5,0,4,0,0,67%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2968990.png,63.2%,63.9%,-11,0,0.2,0.4,0,0.7,0,0.0%,0,45%,0.0%,1.8%,0.4%,2.7%,0.0%,0.4%,0.0%,0.9%,0.0%,0,12%,0,49,1,0,4,4,6,0,5,1,58.6%,36.6%,10,0.8,1.4,0-1,2-1,0-0,2.2%,0,55%,0.0%,1.3%,0.0%,0.0%,0.0%,2.7%,1.3%,3.6%,0.0%,32%,32.5%,19%,19.2%,48%,48.3%,0%,0.0%,0%,0.0%,10,1,4,0,4,2,1,3,5,1,84.2%,47.7%,-1,4.8,5.7,0,0.5,1,2,1,0,0,0,0,0,0,0,0,28%,50.0%,,0,1.5,0,0.5,0.6,0,0,1,0.5,0.5,2.7%,2.7%,2.2%,5.8%,69.3%,0.5,6480bbc459b391b3ca0a1973,5%,1,35.8,GunnarNelsonGunni,Gunnar Nelson,Male,3,72%,"5'11""",0.5,41%,37%,5,Gunni,108.3,"Akureyri, Iceland",0.4,72,https://www.fightstats.xyz/search?q=Gunnar Nelson,23%,59%,63%,0.9,1,Welterweight,19
Ground-Bottom,Switch,Hooks,Left Jab to Head,LeftJabHi + RightHookHi + LeftJabHi + LeftJabHi + LeftJabHi,Crosses,Left Hook to Head,RightStraightHi + LeftJabHi + RightHookHi + RightJabHi,Leg Kicks,Right Leg Kick,LeftJabHi + RightStraightHi + RightJabHi,0,0,8%,0,UFC,0,0,0,2,0,0,76%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3154766.png,42.9%,63.9%,-18,0,0.2,0.6,0,0.7,0,4.7%,0,78%,0.0%,7.0%,0.0%,25.6%,0.0%,2.3%,0.0%,0.0%,0.0%,0,16%,0,25,4,0,7,21,7,0,2,0,22.2%,33.4%,-28,0.7,3.2,0-2,0-0,0-0,0.0%,0,22%,0.0%,2.3%,0.0%,4.7%,0.0%,7.0%,0.0%,2.3%,0.0%,59%,59.1%,32%,31.8%,9%,9.1%,0%,0.0%,0%,0.0%,6,0,0,0,0,0,0,0,0,0,35.0%,45.2%,-46,1.7,4.8,0,0,0.7,3,1.1,0,0,0,0,0,0,0,0,28%,0.0%,,0,3,4,2,0.6,4,2,0.7,0,2,0.0%,0.0%,2.3%,9.3%,32.6%,0,6480bbc459b391b3ca0a1974,0%,1,11.9,GustavoLopez,Gustavo Lopez,Male,1,43%,"5'5""",1,22%,42%,6,,38.5,United States,1.8,67,https://www.fightstats.xyz/search?q=Gustavo Lopez,57%,78%,58%,2.8,1,Bantamweight,12
Pressuring,Orthodox,Leg Kicks,Right Leg Kick,RightStraightHi + LeftJabHi + RightStraightHi,Hooks,Right Straight to Head,RightHighKick + RightStraightHi + LeftHookHi,Jabs,Left Hook to Head,LeftHookHi + RightLegKick + LeftHookHi,0,0,14%,0,UFC,0,0,0,4,0,0,50%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3023388.png,68.0%,63.9%,1,0,1.5,2.1,1.6,0.7,0,0.5%,0,31%,0.0%,6.6%,0.0%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0,37%,0,48,0,0,0,0,0,0,0,0,33.0%,33.4%,4,1.6,4.9,2-0,0-0,1-1,5.6%,0,69%,1.4%,4.2%,0.0%,1.9%,0.0%,25.4%,0.0%,12.2%,1.9%,19%,18.5%,36%,35.9%,28%,27.8%,7%,7.3%,10%,10.5%,11,1,0,0,0,0,0,0,0,0,53.5%,45.2%,5,4.7,8.8,0,0.5,0.7,0.5,1.1,0,0,0,0,0,0,0,0,89%,14.3%,,0,0,0.5,0,0.6,0,0,0.7,0,1.6,1.4%,4.2%,0.0%,3.8%,28.2%,0,6480bbc559b391b3ca0a1975,5%,0,37.3,HenryCejudoTriple C,Henry Cejudo,Male,1,30%,"5'4""",1.4,37%,40%,3,Triple C,114.7,"Los Angeles, United States",1.3,64,https://www.fightstats.xyz/search?q=Henry Cejudo,65%,63%,60%,2.7,3,Bantamweight,16
Center Octagon,Orthodox,Hooks,Left Hook to Head,No Data,Jabs,Left Jab to Head,No Data,Body Kicks,Left Hook to Body,No Data,0,0.6,21%,0,UFC,0,1.7,0,5,0,0,72%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-12/TOPURIA_ILIA_12-10.png,77.8%,57.5%,-19,0,0.2,0.2,1.7,0.5,0,0.0%,0,62%,0.0%,14.8%,8.1%,9.6%,3.7%,1.5%,0.0%,0.0%,0.0%,0,7%,0,43,0,0,0,0,0,0,0,0,49.4%,39.7%,39,2.8,5.7,2-0,0-0,3-0,0.0%,0,38%,0.0%,8.1%,3.0%,0.0%,0.0%,3.7%,6.7%,2.2%,0.0%,71%,70.9%,28%,27.7%,1%,1.4%,0%,0.0%,0%,0.0%,9,1.2,0,0,0,0,0,0,0,0,55.5%,47.4%,20,4.2,7.6,0,0.6,0.7,3.5,1.2,0,0,0,0,0,0,0,0,90%,64.3%,,0,0,0,0.6,0.5,0.6,0,0.6,0.6,0,0.7%,10.4%,0.0%,3.0%,24.4%,1.7,6480bbc559b391b3ca0a1976,8%,0,23.8,IliaTopuriaEl Matador,Ilia Topuria,Male,1,20%,"5'8""",0.6,72%,41%,0,El Matador,73,Germany,0.9,69,https://www.fightstats.xyz/search?q=Ilia Topuria,71%,28%,59%,1.5,4,Featherweight,13
Center Octagon,Orthodox,Hooks,Right Straight to Head,No Data,Crosses,Left Hook to Head,No Data,Jabs,Right Body Kick,No Data,0,0,23%,0,UFC,0,0,0,5,0,0,66%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3994033.png,44.8%,62.9%,4,0,0.5,1.2,0,0.8,0,0.0%,0,46%,0.0%,10.0%,0.0%,5.7%,0.0%,2.9%,0.0%,0.0%,0.0%,0,11%,0,24,0,0,0,0,0,0,0,0,21.4%,41.0%,-16,1.2,5.8,0-3,0-0,0-0,10.0%,0,54%,1.4%,5.7%,0.0%,1.4%,0.0%,4.3%,0.0%,10.0%,1.4%,82%,81.9%,18%,18.1%,0%,0.0%,0%,0.0%,0%,0.0%,6,3.1,0,0,0,0,0,0,0,0,34.9%,52.1%,-12,3.1,8.8,0,1,1,1,1.1,0,0,0,0,0,0,0,0,90%,66.7%,,1,1,0,1,0.9,0,2.1,1.1,0,0,2.9%,4.3%,2.9%,7.1%,30.0%,0,6480bbc659b391b3ca0a1977,7%,1,24.8,IonCutelabaThe Hulk,Ion Cutelaba,Male,1,35%,"6'1""",0.4,46%,57%,9,The Hulk,76.7,Moldova,1.7,75,https://www.fightstats.xyz/search?q=Ion Cutelaba,58%,54%,43%,2,4,Light Heavyweight,17
Ground-Top,Southpaw,Hooks,Left Straight to Head,RightJabHi + LeftUppercutHi + RightHookHi,Jabs,Right Hook to Head,No Data,Leg Kicks,Right Jab to Head,No Data,0,2.6,19%,0,UFC,0,1,0,8,0,0,77%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-07/68127%252Fprofile-galery%252Fprofile-picture%252FMAKHACHEV_ISLAM_07-17.png?itok=eRUV-93J,62.5%,66.0%,-10,0,0.3,0.4,0.8,0.7,0,2.0%,0,49%,0.7%,1.9%,0.0%,0.3%,0.0%,1.5%,0.2%,5.6%,0.8%,0,4%,0,96,8,2,27,16,7,3,35,5,54.5%,41.7%,43,1.6,3,6-0,1-0,1-0,0.0%,0,51%,0.0%,4.4%,0.0%,3.9%,0.2%,0.0%,0.3%,0.0%,0.0%,44%,43.8%,27%,27.5%,21%,21.4%,6%,6.3%,1%,0.9%,22,0.8,0,0,2,2,0,0,0,1,78.0%,52.9%,33,6.4,8.2,0,0.8,1.1,1.6,1.2,4,2,8,8,2,0,3,2,93%,71.0%,,0.3,1.3,0,0.3,0.6,0,0.5,1.1,0,0,3.7%,4.0%,5.4%,16.3%,48.8%,1,6480bbc659b391b3ca0a1978,7%,0,56.4,IslamMakhachev,Islam Makhachev,Male,8,63%,"5'10""",0.4,38%,46%,1,,170.3,"Dagestan Republic, Russia",0.7,70,https://www.fightstats.xyz/search?q=Islam Makhachev,30%,62%,54%,1.1,0,Lightweight,24
Center Octagon,Switch,Jabs,Left Leg Kick,LeftStraightHi + RightJabHi + LeftLegKick,Leg Kicks,Left Jab to Head,LeftLegKick + LeftStraightHi + RightUppercutHi,Hooks,Right Leg Kick,No Data,0,0.1,15%,0,UFC,0,0,0,11,0,0,53%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4285679.png,62.0%,63.0%,168,0,1.7,2.8,1.1,0.7,0,4.9%,0,63%,1.3%,3.0%,0.1%,14.7%,1.6%,15.8%,0.1%,5.5%,0.6%,0,32%,0,212,0,0,0,0,0,0,0,0,38.8%,41.4%,-1,2.3,5.8,4-2,4-0,1-0,4.0%,0,37%,1.0%,3.6%,1.0%,1.5%,0.1%,13.5%,0.0%,7.0%,0.7%,19%,19.2%,27%,27.1%,20%,19.6%,16%,16.1%,18%,18.0%,44,0,0,0,0,0,0,0,0,0,50.1%,51.2%,167,4.8,9.5,0,0.5,0.7,0.2,1.2,0,0,0,0,0,0,0,0,97%,33.3%,,0,0.1,0.7,0.1,0.7,0.4,0.4,0.7,0,0,0.8%,9.4%,0.7%,1.1%,8.1%,0,6480bbc659b391b3ca0a1979,9%,0,30.8,IsraelAdesanyaThe Last Stylebender,Israel Adesanya,Male,0,8%,"6'4""",0.9,20%,32%,2,The Last Stylebender,94.9,"Lagos, Nigeria",1.7,80,https://www.fightstats.xyz/search?q=Israel Adesanya,83%,80%,68%,2.6,11,Middleweight,24
Pressuring,Switch,Jabs,Right Jab to Head,No Data,Hooks,Right Hook to Head,No Data,Leg Kicks,Left Straight to Head,No Data,0,0,19%,0,UFC,0,0,0,4,0,0,78%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2023-02/DELLA_MADDALENA_JACK_02-11.png,40.0%,63.9%,-7,0,0.7,1.7,13.9,0.7,0,1.7%,0,34%,0.0%,5.0%,3.3%,3.3%,1.7%,0.0%,0.0%,10.0%,0.8%,0,3%,0,9,0,0,0,0,0,0,0,0,55.8%,36.6%,57,10.7,19.1,2-0,1-0,1-0,0.8%,0,66%,0.0%,10.8%,2.5%,26.7%,2.5%,2.5%,0.8%,1.7%,0.8%,100%,100.0%,0%,0.0%,0%,0.0%,0%,0.0%,0%,0.0%,4,0,0,0,0,0,0,0,0,0,60.3%,47.7%,50,14.7,24.3,0,2.8,1,2.8,1,0,0,0,0,0,0,0,0,42%,0%,,0,2.8,0,0,0.6,0,0,1,0,0,1.7%,0.0%,0.0%,0.0%,23.3%,0,6480bbc759b391b3ca0a197a,2%,0,58.8,JackDella Maddalena,Jack Della maddalena,Male,2,21%,"5'11""",1.4,32%,46%,2,,182,Australia,4.1,73,https://www.fightstats.xyz/search?q=Jack Della maddalena,77%,68%,54%,5.6,2,Welterweight,14
Ground-Top,Orthodox,Hooks,Right Head Kick,No Data,Leg Kicks,Right Body Kick,No Data,Jabs,Right Leg Kick,No Data,0,4.4,25%,0,UFC,0,7.4,0,4,0,0,50%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4873640.png,42.9%,62.9%,2,0,0.2,0.4,0,0.8,0,0.0%,0,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,25%,0,17,1,1,0,0,1,0,0,0,33.3%,41.0%,-1,0.1,0.2,4-0,0-0,0-0,0.5%,0,0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,67%,66.8%,33%,33.2%,0%,0.0%,0%,0.0%,0%,0.0%,5,0,0,0,0,0,0,0,0,0,87.9%,52.1%,1,12.8,14.6,0,2.9,1,8.8,1.1,0,0,0,0,0,0,0,0,0%,86.7%,,0,0,0,0,0.9,0,0,1.1,0,0,0.0%,0.5%,0.0%,0.5%,97.7%,7.4,6480bbc759b391b3ca0a197b,0%,0,60.6,JailtonAlmeidaMalhadinho,Jailton Almeida,Male,4,98%,"6'4""",0.1,0%,100%,2,Malhadinho,182,Brazil,0.1,79,https://www.fightstats.xyz/search?q=Jailton Almeida,2%,0%,0%,0.1,0,Light Heavyweight,18
Center Octagon,Orthodox,Jabs,Left Leg Kick,LeftHookHi + RightHookHi + LeftHookHi,Leg Kicks,Left Jab to Head,LeftJabHi + RightLegKick + LeftHookHi + RightHookHi,Body Kicks,Left Hook to Head,No Data,0,0,5%,0,UFC,0,0,0,7,0,0,56%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4410084.png,83.9%,72.4%,-43,0,0.9,1,2.3,0.7,0,0.0%,0,71%,0.0%,9.3%,0.0%,14.0%,2.7%,27.3%,0.7%,0.0%,0.0%,0,39%,0,54,0,0,0,0,0,0,0,0,28.7%,41.8%,-53,1.4,4.8,2-2,0-0,1-2,0.0%,0,29%,0.0%,9.3%,0.0%,0.0%,0.0%,4.0%,0.0%,1.3%,0.7%,47%,47.1%,29%,29.3%,11%,11.5%,8%,7.6%,4%,4.5%,14,0,0,0,0,0,0,0,0,0,45.1%,54.8%,-96,3.1,6.9,0,0.9,1,0,0.7,0,0,0,0,0,0,0,0,83%,0.0%,,0,0.5,1.4,0.9,0.8,0,0.5,1,0,0.5,0.7%,9.3%,0.0%,0.0%,20.7%,0,6480bbc859b391b3ca0a197c,9%,0,19.8,JairzinhoRozenstruikBigi Boy,Jairzinho Rozenstruik,Male,0,19%,"6'2""",1.7,51%,17%,4,Bigi Boy,63.1,"Paramaribo, Suriname",2.1,78,https://www.fightstats.xyz/search?q=Jairzinho Rozenstruik,72%,49%,83%,3.7,7,Heavyweight,13
Pressuring,Switch,Leg Kicks,Right Hook to Head,RightJabHi + LeftStraightHi + RightJabHi,Jabs,Left Body Kick,No Data,Hooks,Right Jab to Head,No Data,0,0.4,26%,0,UFC,0,0,0,8,0,0,69%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-06/8e28eeca-b24e-46a8-97fe-037d23fb8e3b%252FTURNER_JALIN_07-02.png,64.3%,66.0%,-8,0,1,1.5,2.7,0.7,0,10.1%,0,38%,0.3%,4.4%,1.9%,4.7%,0.0%,2.2%,0.0%,4.4%,0.0%,0,4%,0,56,0,0,0,0,0,0,0,0,36.2%,41.7%,53,2.8,7.8,4-1,2-0,0-1,3.5%,0,62%,0.3%,11.3%,0.9%,7.9%,0.0%,0.6%,0.0%,4.7%,0.0%,53%,52.8%,38%,37.7%,10%,9.5%,0%,0.0%,0%,0.0%,15,0.4,0,0,0,0,0,0,0,0,50.6%,52.9%,45,6.2,12.2,0,2.7,1.1,4,1.2,0,0,0,0,0,0,0,0,82%,100.0%,,0,0.9,1.3,0,0.6,2.7,0.4,1.1,0,0.4,0.9%,4.4%,0.3%,0.9%,36.2%,0,6480bbc859b391b3ca0a197d,5%,0,47.8,JalinTurnerThe Tarantula,Jalin Turner,Male,3,34%,"6'3""",1.1,46%,35%,6,The Tarantula,146.2,"Los Angeles, United States",1.6,77,https://www.fightstats.xyz/search?q=Jalin Turner,61%,54%,65%,2.7,5,Lightweight,14
Center Octagon,Southpaw,Leg Kicks,Right Hook to Head,No Data,Body Kicks,Right Jab to Head,No Data,Hooks,Left Straight to Head,No Data,0,0,21%,0,UFC,0,0,0,7,0,0,66%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2023-01/HILL_JAMAHAL_BELT.png,58.7%,62.9%,-25,0,1,1.7,3.4,0.8,0,6.9%,0,38%,0.4%,3.5%,0.9%,1.3%,0.0%,9.5%,0.0%,13.4%,6.1%,0,13%,0,44,0,0,0,0,0,0,0,0,37.0%,41.0%,119,3.8,10.1,2-1,0-0,3-0,0.0%,0,62%,0.0%,17.3%,0.9%,15.2%,0.9%,2.2%,0.4%,1.7%,0.0%,31%,31.2%,40%,39.8%,13%,12.9%,16%,16.1%,0%,0.0%,13,0,0,0,0,0,0,0,0,0,44.1%,52.1%,94,5.8,13.1,0,1.7,1,0,1.1,0,0,0,0,0,0,0,0,64%,0%,,0,0.6,1.7,0,0.9,3.4,0,1.1,0,0.6,1.7%,3.5%,0.0%,0.0%,14.3%,0,6480bbc859b391b3ca0a197e,5%,0,45,JamahalHillSweet Dreams,Jamahal Hill,Male,0,13%,"6'4""",1.6,37%,69%,1,Sweet Dreams,137.4,"Chicago, United States",0.8,79,https://www.fightstats.xyz/search?q=Jamahal Hill,82%,63%,31%,2.3,7,Light Heavyweight,12
Center Octagon,Orthodox,Leg Kicks,Left Jab to Head,No Data,Jabs,Right Leg Kick,No Data,Body Kicks,Left Hook to Head,No Data,0,0,23%,0,UFC,0,0.3,0,9,0,0,58%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2506250.png,69.5%,62.9%,17,0,1.1,1.6,0.5,0.8,0,5.1%,0,68%,1.9%,8.2%,1.2%,13.2%,2.7%,6.2%,0.3%,1.6%,0.0%,0,19%,0,145,0,0,0,0,0,0,0,0,59.7%,41.0%,155,3.7,6.2,3-1,2-0,1-0,0.7%,0,32%,0.1%,3.3%,0.1%,0.4%,0.0%,9.2%,1.2%,6.7%,0.0%,33%,32.6%,27%,27.2%,14%,13.5%,12%,11.7%,15%,15.0%,29,0,0,0,0,0,0,0,0,0,66.6%,52.1%,172,6.5,9.8,0,0.9,1,0.2,1.1,0,0,0,0,0,0,0,0,94%,57.1%,,0,0,0.3,0,0.9,0.5,0.3,1.1,0,0.2,7.7%,7.0%,0.7%,9.1%,13.1%,0.3,6480bbc959b391b3ca0a197f,11%,1,32.6,JanBlachowicz,Jan Błachowicz,Male,0,16%,"6'2""",1,37%,23%,9,,99.7,"Cieszyn, Poland",0.9,78,https://www.fightstats.xyz/search?q=Jan Błachowicz,74%,63%,77%,1.9,8,Light Heavyweight,29
Center Octagon,Switch,Leg Kicks,Left Jab to Head,RightUppercutHi + LeftHookHi + RightHookLo,Jabs,Right Straight to Head,No Data,Crosses,Right Leg Kick,No Data,0,0,23%,0,UFC,0,0,0,3,0,0,64%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-06/5ff2c03b-8601-45ee-ac95-cec9219502d5%252FCANNONIER_JARED_07-02.png,63.0%,63.0%,-31,0,0.6,0.9,0.5,0.7,0,1.8%,0,45%,0.6%,3.5%,0.0%,15.2%,1.8%,4.1%,0.6%,2.3%,0.6%,0,13%,0,49,0,0,0,0,0,0,0,0,49.4%,41.4%,22,2.6,5.2,0-0,1-0,0-1,2.3%,0,55%,0.0%,5.8%,1.8%,4.1%,2.3%,8.2%,0.0%,9.9%,3.5%,24%,23.5%,36%,36.5%,18%,17.5%,11%,11.0%,12%,11.5%,10,0,0,0,0,0,0,0,0,0,55.7%,51.2%,-9,4,7.1,0,1.5,0.7,0,1.2,0,0,0,0,0,0,0,0,69%,0.0%,,0,0.5,0.5,0.5,0.7,2.6,0,0.7,0,0,7.0%,5.8%,8.8%,1.8%,8.2%,0,6480bbc959b391b3ca0a1980,11%,0,28.9,JaredCannonierThe Killa Gorilla,Jared Cannonier,Male,0,9%,"6'0""",1.2,23%,19%,6,The Killa Gorilla,89.3,"Dallas, United States",1.4,77,https://www.fightstats.xyz/search?q=Jared Cannonier,80%,77%,81%,2.6,3,Middleweight,16
Moving Backwards,Orthodox,Leg Kicks,Left Jab to Head,No Data,Hooks,Right Leg Kick,No Data,Jabs,Left Hook to Head,No Data,0,1.1,22%,0,UFC,0,0.7,0,9,0,0,58%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-12/GORDON_JARED_12-10.png,61.9%,66.0%,-1,0,0.6,0.9,0,0.7,0,0.2%,0,59%,0.0%,8.2%,1.2%,10.8%,0.0%,1.8%,0.0%,0.2%,0.0%,0,19%,0,114,0,0,0,0,0,0,0,0,47.1%,41.7%,84,3.8,8.1,4-2,1-0,0-1,1.6%,0,41%,0.4%,5.0%,4.4%,0.0%,0.0%,9.0%,0.0%,2.6%,1.4%,27%,27.2%,30%,29.5%,43%,43.3%,0%,0.0%,0%,0.0%,23,0.2,0,0,0,0,0,0,0,0,51.7%,52.9%,83,6.7,13,0,0.4,1.1,0.9,1.2,3,0,5,2,2,0,2,0,78%,50.0%,,0,0.2,0.4,0.2,0.6,0.9,0,1.1,0,1.3,3.4%,4.2%,0.0%,6.6%,39.0%,0.7,6480bbca59b391b3ca0a1981,5%,0,33.1,JaredGordonFlash,Jared Gordon,Male,4,30%,"5'9""",0.6,56%,40%,6,Flash,100.7,"New York, United States",0.8,68,https://www.fightstats.xyz/search?q=Jared Gordon,65%,44%,60%,1.4,5,Lightweight,19
Center Octagon,Orthodox,Hooks,Left Jab to Head,No Data,Jabs,Right Body Kick,No Data,Crosses,Left Leg Kick,No Data,0,0,19%,0,UFC,0,0,0,2,0,0,62%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4227709.png,72.3%,72.4%,40,0,2,2.7,0,0.7,0,0.0%,0,59%,0.0%,7.7%,0.0%,16.9%,0.8%,15.4%,0.0%,0.0%,0.0%,0,19%,0,24,0,0,0,0,0,0,0,0,34.7%,41.8%,7,2.8,8.2,0-1,1-0,0-0,16.9%,0,41%,1.5%,7.7%,0.0%,0.0%,0.0%,2.3%,0.0%,9.2%,0.0%,32%,32.4%,35%,35.2%,32%,32.4%,0%,0.0%,0%,0.0%,5,0,0,0,0,0,0,0,0,0,47.9%,54.8%,47,5.7,11.9,0,0,1,0,0.7,0,0,0,0,0,0,0,0,24%,0.0%,,0,1,0,0,0.8,1,1,1,0,1,0.0%,9.2%,4.6%,0.0%,7.7%,0,6480bbca59b391b3ca0a1982,9%,0,43,JaredVanderaaThe Mountain,Jared Vanderaa,Male,0,7%,"6'4""",0.3,36%,39%,10,The Mountain,131.3,"Richland, United States",2,80,https://www.fightstats.xyz/search?q=Jared Vanderaa,84%,64%,61%,2.3,2,Heavyweight,12
