_id,draw,fighterAge,fighterHeight,fighterLOC,fighterName,fighterReach,fighterURL,loss,weightClass,wins
64445358ca69df223110e43e,0,47,"5'10""",Japan,Yoshihiro Akiyama,73.50,https://www.ufc.com/athlete/yoshihiro-akiyama,6,Welterweight,15
6444535fca69df223110e43f,0,N/A,"6'0""","Stockholm, Sweden",Rostem Akman,N/A,https://www.ufc.com/athlete/rostam-akman,2,Welterweight,0
64445366ca69df223110e440,0,N/A,N/A,"Beirut, Lebanon",Mostapha Al turk,N/A,https://www.ufc.com/athlete/mostapha-al-turk,6,Heavyweight,6
6444536dca69df223110e441,0,N/A,N/A,"Milwaukee, United States",Razak Al-hassan,N/A,https://www.ufc.com/athlete/razak-al-hassan,2,Light Heavyweight,7
64445374ca69df223110e442,0,N/A,"5'8""","Amman, Jordan",Ali Al-qaisi,N/A,https://www.ufc.com/athlete/ali-alqaisi,5,Bantamweight,8
64445378ca69df223110e443,0,N/A,N/A,N/A,Herdem Alacabek,N/A,https://www.ufc.com/athlete/herdem-alacabek,0,Light Heavyweight,0
6444537eca69df223110e444,1,31,"5'5""","Alxa, China",Alatengheili,66.50,https://www.ufc.com/athlete/heili-alateng,8,Bantamweight,16
64445384ca69df223110e445,0,29,"5'5""","Baghdad, Iraq",Amir Albazi,68.00,https://www.ufc.com/athlete/amir-albazi,1,Flyweight,16
6444538dca69df223110e446,0,N/A,N/A,"Reno, United States",John Albert,N/A,https://www.ufc.com/athlete/john-albert,5,Bantamweight,7
64445395ca69df223110e447,0,N/A,"6'2""","Paranaguá, Brazil",Junior Albini,N/A,https://www.ufc.com/athlete/junior-albini,6,Heavyweight,14
6444539eca69df223110e448,0,N/A,N/A,United States,Wes Albritton,N/A,https://www.ufc.com/athlete/wes-albritton,0,Lightweight,0
644453a6ca69df223110e449,0,N/A,"5'3""","Vulcanesti, Moldova",Alexandra Albu,N/A,https://www.ufc.com/athlete/alexandra-albu,2,"Women's Strawweight",7
644453adca69df223110e44a,0,N/A,"6'6""","Soure, Portugal",Ildemar Alcantara,N/A,https://www.ufc.com/athlete/igor-araudzho-1,8,Middleweight,21
644453b3ca69df223110e44b,0,42,"5'9""","Soure, Brazil",Iuri Alcantara,71.00,https://www.ufc.com/athlete/iuri-alcantara,10,Bantamweight,35
644453baca69df223110e44c,0,N/A,N/A,United States,Alfonso Alcarez,N/A,https://www.ufc.com/athlete/alfonso-alcarez,0,Lightweight,0
644453c0ca69df223110e44d,0,N/A,N/A,"Chandler, United States",Gilbert Aldana,N/A,https://www.ufc.com/athlete/gilbert-aldana,0,Heavyweight,5
644453c6ca69df223110e44e,0,34,"5'9""","Culiacán, Mexico",Irene Aldana,68.50,https://www.ufc.com/athlete/irene-aldana,6,"Women's Bantamweight",14
644453d0ca69df223110e44f,0,N/A,"6'0""","San Luis Río Colorado, Mexico",Hector Aldana,N/A,https://www.ufc.com/athlete/hector-aldana,2,Welterweight,4
644453d7ca69df223110e450,0,N/A,"5'8""","Nacozari De García, Mexico",Jose Alday,N/A,https://www.ufc.com/athlete/jose-alday,1,Bantamweight,0
644453e1ca69df223110e451,0,36,"5'7""","Manaus, Brazil",José Aldo,70.00,https://www.ufc.com/athlete/jose-aldo,8,Bantamweight,31
644453e8ca69df223110e452,0,30,"5'5""","Denver, United States",Jj Aldrich,67.50,https://www.ufc.com/athlete/jj-aldrich,6,"Women's Flyweight",11
644453efca69df223110e453,0,N/A,"5'8""",Russia,Irina Alekseeva,N/A,https://www.ufc.com/athlete/irina-alekseeva,1,"Women's Bantamweight",5
644453f6ca69df223110e454,0,36,"5'9""","New York, United States",Jim Alers,71.00,https://www.ufc.com/athlete/jim-alers,3,Featherweight,13
644453feca69df223110e455,0,N/A,N/A,United States,John Alessio,N/A,https://www.ufc.com/athlete/john-alessio,16,Lightweight,34
64445405ca69df223110e456,0,N/A,N/A,"East St. Louis, United States",Houston Alexander,N/A,https://www.ufc.com/athlete/houston-alexander,5,Light Heavyweight,9
6444540cca69df223110e457,0,27,"5'11""",Brazil,Lucas Alexander,73.00,https://www.ufc.com/athlete/lucas-alexander,3,Featherweight,8
64445416ca69df223110e458,0,33,"6'1""","Florianopolis, Brazil",Marcio Alexandre,75.00,https://www.ufc.com/athlete/marcio-alexandre,3,Middleweight,13
6444541fca69df223110e459,0,N/A,N/A,"Enseneda, Mexico",Olaf Alfonso,N/A,https://www.ufc.com/athlete/olaf-alfonso,0,Welterweight,0
64445426ca69df223110e45a,0,33,"6'0""","Boothwyn, United States",Bill Algeo,73.00,https://www.ufc.com/athlete/bill-algeo,7,Featherweight,17
6444542dca69df223110e45b,0,N/A,N/A,United States,Royce Alger,N/A,https://www.ufc.com/athlete/royce-alger,0,Middleweight,0
64445432ca69df223110e45c,0,37,"5'10""",Ghana,Abdul Razak alhassan,73.00,https://www.ufc.com/athlete/abdul-razak-alhassan,5,Middleweight,12
64445437ca69df223110e45d,0,N/A,N/A,N/A,Amir Aliakbari,N/A,https://www.ufc.com/athlete/amir-aliakbari,0,Heavyweight,0
6444543eca69df223110e45e,0,22,"5'10""","Dushanbe, Tajikistan",Nurullo Aliev,72.00,https://www.ufc.com/athlete/nurullo-aliev,0,Lightweight,9
64445445ca69df223110e45f,0,N/A,"6'2""","Dagestan, Russia",Sultan Aliev,N/A,https://www.ufc.com/athlete/sultan-aliev,3,Welterweight,15
6444544dca69df223110e460,0,N/A,"6'0""","Dagestan, Russia",Ikram Aliskerov,N/A,https://www.ufc.com/athlete/ikram-aliskerov,1,Middleweight,14
64445456ca69df223110e461,0,N/A,N/A,N/A,Leon Aliu,N/A,https://www.ufc.com/athlete/leon-aliu,1,Middleweight,0
6444545dca69df223110e462,0,N/A,"6'3""","Curitiba, Brazil",John Allan,N/A,https://www.ufc.com/athlete/john-allan,7,Light Heavyweight,13
64445465ca69df223110e463,0,27,"6'2""","Beaufort, United States",Brendan Allen,75.00,https://www.ufc.com/athlete/brendan-allen,5,Middleweight,21
6444546cca69df223110e464,0,29,"5'8""","Ipswich, United Kingdom",Arnold Allen,70.00,https://www.ufc.com/athlete/arnold-allen,2,Featherweight,19
64445470ca69df223110e465,0,N/A,"6'3""","Ipswich, Australia",Benny Alloway,N/A,https://www.ufc.com/athlete/ben-sonders-0,6,Welterweight,13
64445475ca69df223110e466,0,N/A,N/A,Kazakhstan,Assu Almabayev,N/A,https://www.ufc.com/athlete/assu-almabayev,0,Flyweight,0
6444547aca69df223110e467,0,N/A,N/A,"Manaus, Brazil",Estefani Almeida,N/A,https://www.ufc.com/athlete/estefani-almeida,0,"Women's Flyweight",0
64445483ca69df223110e468,0,N/A,"6'2""",United States,Ricardo Almeida,N/A,https://www.ufc.com/athlete/ricardo-almeida,4,Welterweight,13
6444548dca69df223110e469,0,31,"5'7""","Sao Paulo, Brazil",Thomas Almeida,70.00,https://www.ufc.com/athlete/thomas-almeida,5,Bantamweight,22
64445494ca69df223110e46a,0,N/A,"5'8""",United States,Ericka Almeida,N/A,https://www.ufc.com/athlete/ericka-almeida,2,"Women's Strawweight",7
6444549bca69df223110e46b,0,32,"5'11""","Sorocaba, Brazil",Lucas Almeida,71.00,https://www.ufc.com/athlete/lucas-almeida,1,Featherweight,14
644454a3ca69df223110e46c,0,31,"6'3""",Brazil,Jailton Almeida,79.00,https://www.ufc.com/athlete/jailton-almeida,2,Heavyweight,18
644454acca69df223110e46d,0,31,"5'4""","Amarillo, United States",Sarah Alpar,63.00,https://www.ufc.com/athlete/sarah-alpar,6,"Women's Flyweight",9
644454b2ca69df223110e46e,0,32,"5'8""","Mexico City, Mexico",Victor Altamirano,70.00,https://www.ufc.com/athlete/victor-altamirano,2,Flyweight,12
644454baca69df223110e46f,0,N/A,N/A,"New York City, United States",Sean Alvarez,N/A,https://www.ufc.com/athlete/sean-alvarez,3,Heavyweight,4
644454c1ca69df223110e470,0,N/A,"5'9""","Hollywood, United States",Jaime Alvarez,N/A,https://www.ufc.com/athlete/jaime-alvarez,1,Flyweight,7
644454c9ca69df223110e471,0,39,"5'9""",United States,Eddie Alvarez,69.00,https://www.ufc.com/athlete/eddie-alvarez,6,Lightweight,29
644454d0ca69df223110e472,0,29,"6'2""",Spain,Joel Álvarez,77.00,https://www.ufc.com/athlete/joel-alvarez,3,Lightweight,19
644454d8ca69df223110e473,0,39,"5'9""","Fortaleza, Brazil",Thiago Alves,70.00,https://www.ufc.com/athlete/thiago-alves,15,Welterweight,28
644454e0ca69df223110e474,0,N/A,N/A,Brazil,Amilcar Alves,N/A,https://www.ufc.com/athlete/amilcar-alves,3,Welterweight,11
644454e9ca69df223110e475,0,32,"5'11""","Governador Valadares, Brazil",Warlley Alves,72.00,https://www.ufc.com/athlete/warlley-alves,6,Welterweight,15
